Series Name,Ohio State University - Relative Humidity (%),Ohio State University - NOAA Average Daily Temperature (°F),Ohio State University - Atmospheric Pressure (mb)
2017-01-01T05:00:00,79,39,988.825588
2017-01-01T06:00:00,75,39,989.8415047
2017-01-01T07:00:00,82,39,990.5187825
2017-01-01T08:00:00,72,39,991.1960603
2017-01-01T09:00:00,70,39,991.3653797
2017-01-01T10:00:00,60,39,992.211977
2017-01-01T11:00:00,58,39,992.211977
2017-01-01T12:00:00,56,39,991.8733381
2017-01-01T13:00:00,51,39,990.8574214
2017-01-01T14:00:00,52,39,990.8574214
2017-01-01T15:00:00,52,39,990.8574214
2017-01-01T16:00:00,60,39,991.5346992
2017-01-01T17:00:00,62,39,991.8733381
2017-01-01T18:00:00,65,39,992.211977
2017-01-01T19:00:00,73,39,991.5346992
2017-01-01T20:00:00,70,39,991.5346992
2017-01-01T21:00:00,73,39,991.1960603
2017-01-01T22:00:00,65,39,990.8574214
2017-01-01T23:00:00,65,39,990.5187825
2017-01-02T00:00:00,68,45,989.8415047
2017-01-02T01:00:00,76,45,990.1801436
2017-01-02T02:00:00,83,45,990.4059029
2017-01-02T03:00:00,89,45,990.1801436
2017-01-02T04:00:00,88.33333333,45,989.9543843
2017-01-02T05:00:00,88.33333333,45,989.8415047
2017-01-02T06:00:00,89,45,990.2930232
2017-01-02T07:00:00,89.75,45,990.5187825
2017-01-02T08:00:00,90,45,990.7445418
2017-01-02T09:00:00,89,45,990.8574214
2017-01-02T10:00:00,89.5,45,991.3653797
2017-01-02T11:00:00,87.5,45,991.5346992
2017-01-02T12:00:00,86,45,990.0108242
2017-01-02T13:00:00,86,45,989.1642269
2017-01-02T14:00:00,83,45,988.1483102
2017-01-02T15:00:00,83,45,988.4869491
2017-01-02T16:00:00,86,45,987.8096713
2017-01-02T17:00:00,86,45,986.7937546
2017-01-02T18:00:00,89,45,986.1164768
2017-01-02T19:00:00,89,45,986.1164768
2017-01-02T20:00:00,91,45,985.3263194
2017-01-02T21:00:00,89,45,984.4232823
2017-01-02T22:00:00,91,45,983.9153239
2017-01-02T23:00:00,89,45,982.8429674
2017-01-03T00:00:00,87.5,53,981.5448516
2017-01-03T01:00:00,86,53,980.6982544
2017-01-03T02:00:00,86,53,980.3596155
2017-01-03T03:00:00,87.5,53,979.5130183
2017-01-03T04:00:00,90.33333333,53,978.4406617
2017-01-03T05:00:00,89,53,976.9732265
2017-01-03T06:00:00,89,53,976.2959487
2017-01-03T07:00:00,91,53,975.9573098
2017-01-03T08:00:00,89,53,975.6186709
2017-01-03T09:00:00,93,53,975.6186709
2017-01-03T10:00:00,93,53,975.280032
2017-01-03T11:00:00,93,53,973.9254764
2017-01-03T12:00:00,89,53,973.5868375
2017-01-03T13:00:00,89,53,973.2481986
2017-01-03T14:00:00,86,53,972.9095597
2017-01-03T15:00:00,89,53,972.5709208
2017-01-03T16:00:00,87.5,53,972.9095597
2017-01-03T17:00:00,89,53,972.9095597
2017-01-03T18:00:00,88,53,974.2641153
2017-01-03T19:00:00,86,53,973.756157
2017-01-03T20:00:00,86.25,53,974.0101361
2017-01-03T21:00:00,90,53,974.2641153
2017-01-03T22:00:00,86,53,974.6027542
2017-01-03T23:00:00,90,53,975.280032
2017-01-04T00:00:00,82,37,975.6186709
2017-01-04T01:00:00,82,37,976.6345876
2017-01-04T02:00:00,82,37,977.3118654
2017-01-04T03:00:00,79,37,978.3277821
2017-01-04T04:00:00,76,37,978.666421
2017-01-04T05:00:00,76,37,979.0050599
2017-01-04T06:00:00,67,37,980.0209766
2017-01-04T07:00:00,69.66666667,37,980.811134
2017-01-04T08:00:00,66,37,981.7141711
2017-01-04T09:00:00,61,37,982.3914489
2017-01-04T10:00:00,58,37,983.0687267
2017-01-04T11:00:00,54,37,983.4073656
2017-01-04T12:00:00,52,37,983.4073656
2017-01-04T13:00:00,52,37,983.0687267
2017-01-04T14:00:00,51,37,983.4073656
2017-01-04T15:00:00,51,37,984.0846434
2017-01-04T16:00:00,51,37,984.4232823
2017-01-04T17:00:00,58,37,984.7619212
2017-01-04T18:00:00,55,37,985.439199
2017-01-04T19:00:00,55,37,985.7778379
2017-01-04T20:00:00,60,37,985.7778379
2017-01-04T21:00:00,60,37,985.439199
2017-01-04T22:00:00,61.5,37,985.7778379
2017-01-04T23:00:00,60,37,986.1164768
2017-01-05T00:00:00,60,22,986.1164768
2017-01-05T01:00:00,60,22,986.1164768
2017-01-05T02:00:00,62.5,22,986.2857963
2017-01-05T03:00:00,60,22,986.7937546
2017-01-05T04:00:00,62,22,986.1164768
2017-01-05T05:00:00,62,22,986.1164768
2017-01-05T06:00:00,62,22,986.4551157
2017-01-05T07:00:00,71,22,986.7937546
2017-01-05T08:00:00,72,22,986.4551157
2017-01-05T09:00:00,71,22,986.4551157
2017-01-05T10:00:00,72,22,986.2857963
2017-01-05T11:00:00,73.5,22,985.9471574
2017-01-05T12:00:00,72.66666667,22,985.2134397
2017-01-05T13:00:00,70,22,984.0846434
2017-01-05T14:00:00,74,22,983.9153239
2017-01-05T15:00:00,78,22,983.9717638
2017-01-05T16:00:00,78,22,984.4232823
2017-01-05T17:00:00,74,22,984.7619212
2017-01-05T18:00:00,68,22,985.1005601
2017-01-05T19:00:00,68,22,986.1164768
2017-01-05T20:00:00,74,22,986.7937546
2017-01-05T21:00:00,76.33333333,22,987.1323935
2017-01-05T22:00:00,68,22,987.4710324
2017-01-05T23:00:00,68,22,987.6403518
2017-01-06T00:00:00,68.66666667,13,987.9225509
2017-01-06T01:00:00,70,13,988.3176297
2017-01-06T02:00:00,70,13,989.1642269
2017-01-06T03:00:00,70,13,989.1642269
2017-01-06T04:00:00,73,13,989.1642269
2017-01-06T05:00:00,73,13,989.8415047
2017-01-06T06:00:00,76,13,990.1801436
2017-01-06T07:00:00,73,13,991.5346992
2017-01-06T08:00:00,77,13,991.8733381
2017-01-06T09:00:00,70,13,993.2278937
2017-01-06T10:00:00,65,13,993.9051715
2017-01-06T11:00:00,59,13,993.2278937
2017-01-06T12:00:00,57,13,992.8892548
2017-01-06T13:00:00,59,13,992.8892548
2017-01-06T14:00:00,62,13,993.5665326
2017-01-06T15:00:00,63,13,994.2438104
2017-01-06T16:00:00,62,13,995.2597271
2017-01-06T17:00:00,61,13,995.9370049
2017-01-06T18:00:00,64,13,995.9370049
2017-01-06T19:00:00,67,13,996.2756438
2017-01-06T20:00:00,67,13,996.6142827
2017-01-06T21:00:00,67,13,996.9529216
2017-01-06T22:00:00,67,13,997.6301994
2017-01-06T23:00:00,70,13,997.2915605
2017-01-07T00:00:00,67,10,997.2915605
2017-01-07T01:00:00,64,10,997.6301994
2017-01-07T02:00:00,64,10,998.6461161
2017-01-07T03:00:00,67,10,998.6461161
2017-01-07T04:00:00,70,10,998.984755
2017-01-07T05:00:00,70,10,998.6461161
2017-01-07T06:00:00,67,10,999.3233939
2017-01-07T07:00:00,67,10,1000.000672
2017-01-07T08:00:00,67,10,1000.67795
2017-01-07T09:00:00,64,10,1001.355227
2017-01-07T10:00:00,59,10,1001.355227
2017-01-07T11:00:00,56,10,1001.016588
2017-01-07T12:00:00,56,10,1000.339311
2017-01-07T13:00:00,57.5,10,1000.169991
2017-01-07T14:00:00,57.5,10,1000.339311
2017-01-07T15:00:00,54,10,1000.339311
2017-01-07T16:00:00,54,10,1001.016588
2017-01-07T17:00:00,59,10,1001.355227
2017-01-07T18:00:00,61,10,1001.693866
2017-01-07T19:00:00,64,10,1002.371144
2017-01-07T20:00:00,61,10,1003.048422
2017-01-07T21:00:00,62,10,1002.709783
2017-01-07T22:00:00,64,10,1002.709783
2017-01-07T23:00:00,67,10,1002.371144
2017-01-08T00:00:00,71,14,1002.032505
2017-01-08T01:00:00,74,14,1002.371144
2017-01-08T02:00:00,74,14,1002.709783
2017-01-08T03:00:00,71,14,1003.387061
2017-01-08T04:00:00,70,14,1003.7257
2017-01-08T05:00:00,70,14,1004.402977
2017-01-08T06:00:00,70,14,1005.757533
2017-01-08T07:00:00,73,14,1006.434811
2017-01-08T08:00:00,70,14,1007.112089
2017-01-08T09:00:00,67,14,1007.789366
2017-01-08T10:00:00,62,14,1008.466644
2017-01-08T11:00:00,59,14,1008.466644
2017-01-08T12:00:00,52,14,1008.128005
2017-01-08T13:00:00,50,14,1008.128005
2017-01-08T14:00:00,52,14,1007.789366
2017-01-08T15:00:00,52,14,1007.789366
2017-01-08T16:00:00,54,14,1007.789366
2017-01-08T17:00:00,54,14,1008.466644
2017-01-08T18:00:00,54,14,1008.466644
2017-01-08T19:00:00,56,14,1008.466644
2017-01-08T20:00:00,61,14,1008.466644
2017-01-08T21:00:00,67,14,1008.128005
2017-01-08T22:00:00,67,14,1007.789366
2017-01-08T23:00:00,65,14,1007.112089
2017-01-09T00:00:00,67,20,1006.096172
2017-01-09T01:00:00,67,20,1006.096172
2017-01-09T02:00:00,64,20,1006.096172
2017-01-09T03:00:00,61,20,1005.418894
2017-01-09T04:00:00,62,20,1004.064338
2017-01-09T05:00:00,62,20,1004.064338
2017-01-09T06:00:00,60,20,1003.387061
2017-01-09T07:00:00,57,20,1002.371144
2017-01-09T08:00:00,59,20,1002.371144
2017-01-09T09:00:00,57,20,1002.032505
2017-01-09T10:00:00,55,20,1002.371144
2017-01-09T11:00:00,51,20,1001.016588
2017-01-09T12:00:00,53,20,999.6620328
2017-01-09T13:00:00,51,20,999.3233939
2017-01-09T14:00:00,50,20,999.3233939
2017-01-09T15:00:00,50,20,999.3233939
2017-01-09T16:00:00,52,20,999.3233939
2017-01-09T17:00:00,56,20,998.984755
2017-01-09T18:00:00,52,20,999.3233939
2017-01-09T19:00:00,51,20,998.6461161
2017-01-09T20:00:00,47,20,997.9688383
2017-01-09T21:00:00,47,20,997.2915605
2017-01-09T22:00:00,44,20,996.9529216
2017-01-09T23:00:00,43,20,996.9529216
2017-01-10T00:00:00,42,37,996.2756438
2017-01-10T01:00:00,42,37,994.5824493
2017-01-10T02:00:00,41,37,993.9051715
2017-01-10T03:00:00,41,37,992.211977
2017-01-10T04:00:00,54,37,992.5506159
2017-01-10T05:00:00,61.25,37,991.9579978
2017-01-10T06:00:00,68.5,37,990.5187825
2017-01-10T07:00:00,70,37,989.6721853
2017-01-10T08:00:00,67.5,37,988.9949074
2017-01-10T09:00:00,76,37,987.8096713
2017-01-10T10:00:00,70,37,987.1323935
2017-01-10T11:00:00,70,37,985.7778379
2017-01-10T12:00:00,70,37,983.4073656
2017-01-10T13:00:00,65,37,981.7141711
2017-01-10T14:00:00,63,37,981.0368933
2017-01-10T15:00:00,71,37,981.0368933
2017-01-10T16:00:00,71,37,979.6823377
2017-01-10T17:00:00,66,37,979.0050599
2017-01-10T18:00:00,69,37,978.666421
2017-01-10T19:00:00,71,37,978.666421
2017-01-10T20:00:00,75.5,37,978.4971015
2017-01-10T21:00:00,80,37,979.3436988
2017-01-10T22:00:00,78.5,37,981.5448516
2017-01-10T23:00:00,66,37,984.4232823
2017-01-11T00:00:00,68,45,986.7937546
2017-01-11T01:00:00,73,45,988.4869491
2017-01-11T02:00:00,73,45,989.8415047
2017-01-11T03:00:00,76,45,990.8574214
2017-01-11T04:00:00,82,45,991.1960603
2017-01-11T05:00:00,82,45,991.8733381
2017-01-11T06:00:00,85,45,991.5346992
2017-01-11T07:00:00,85,45,991.5346992
2017-01-11T08:00:00,82,45,991.5346992
2017-01-11T09:00:00,73,45,990.8574214
2017-01-11T10:00:00,71,45,990.5187825
2017-01-11T11:00:00,71,45,989.1642269
2017-01-11T12:00:00,70.5,45,987.6403518
2017-01-11T13:00:00,69,45,985.7778379
2017-01-11T14:00:00,72,45,985.2698795
2017-01-11T15:00:00,80,45,984.4232823
2017-01-11T16:00:00,86.4,45,984.6264656
2017-01-11T17:00:00,87.5,45,984.0846434
2017-01-11T18:00:00,87.5,45,983.5766851
2017-01-11T19:00:00,86,45,983.0687267
2017-01-11T20:00:00,87,45,982.8994072
2017-01-11T21:00:00,83,45,982.3914489
2017-01-11T22:00:00,81,45,981.7141711
2017-01-11T23:00:00,72,45,981.3755322
2017-01-12T00:00:00,70,60,981.3755322
2017-01-12T01:00:00,70,60,981.7141711
2017-01-12T02:00:00,72,60,982.3914489
2017-01-12T03:00:00,72,60,982.7300878
2017-01-12T04:00:00,73.5,60,982.5607684
2017-01-12T05:00:00,73.5,60,982.3914489
2017-01-12T06:00:00,75,60,982.3914489
2017-01-12T07:00:00,76.5,60,983.0687267
2017-01-12T08:00:00,72,60,982.7300878
2017-01-12T09:00:00,72,60,983.7460045
2017-01-12T10:00:00,73,60,983.7460045
2017-01-12T11:00:00,68,60,983.7460045
2017-01-12T12:00:00,75,60,983.0687267
2017-01-12T13:00:00,80,60,983.4073656
2017-01-12T14:00:00,83.6,60,985.2360157
2017-01-12T15:00:00,84.5,60,986.963074
2017-01-12T16:00:00,83,60,988.3176297
2017-01-12T17:00:00,80,60,990.1801436
2017-01-12T18:00:00,73,60,992.5506159
2017-01-12T19:00:00,76,60,993.9051715
2017-01-12T20:00:00,77,60,995.9370049
2017-01-12T21:00:00,78,60,996.7836022
2017-01-12T22:00:00,76,60,997.7995188
2017-01-12T23:00:00,77,60,998.6461161
2017-01-13T00:00:00,76,36,999.3233939
2017-01-13T01:00:00,76,36,1000.67795
2017-01-13T02:00:00,76,36,1001.693866
2017-01-13T03:00:00,75,36,1002.709783
2017-01-13T04:00:00,77,36,1003.217741
2017-01-13T05:00:00,73,36,1004.402977
2017-01-13T06:00:00,79,36,1005.080255
2017-01-13T07:00:00,75.5,36,1005.757533
2017-01-13T08:00:00,75,36,1007.112089
2017-01-13T09:00:00,68,36,1007.789366
2017-01-13T10:00:00,67,36,1008.128005
2017-01-13T11:00:00,62,36,1008.128005
2017-01-13T12:00:00,62,36,1007.450728
2017-01-13T13:00:00,54,36,1008.128005
2017-01-13T14:00:00,59,36,1007.112089
2017-01-13T15:00:00,57,36,1007.450728
2017-01-13T16:00:00,61,36,1007.789366
2017-01-13T17:00:00,64,36,1008.128005
2017-01-13T18:00:00,61,36,1008.128005
2017-01-13T19:00:00,64,36,1008.466644
2017-01-13T20:00:00,64,36,1007.789366
2017-01-13T21:00:00,64,36,1007.450728
2017-01-13T22:00:00,64,36,1007.112089
2017-01-13T23:00:00,61,36,1006.096172
2017-01-14T00:00:00,61,33,1005.080255
2017-01-14T01:00:00,61,33,1004.064338
2017-01-14T02:00:00,64,33,1004.741616
2017-01-14T03:00:00,64,33,1004.064338
2017-01-14T04:00:00,64,33,1003.048422
2017-01-14T05:00:00,66,33,1002.879102
2017-01-14T06:00:00,69,33,1001.919625
2017-01-14T07:00:00,69,33,1001.524547
2017-01-14T08:00:00,66,33,1001.355227
2017-01-14T09:00:00,66,33,1001.355227
2017-01-14T10:00:00,66.5,33,1001.016588
2017-01-14T11:00:00,70,33,1000.000672
2017-01-14T12:00:00,72.5,33,999.1540745
2017-01-14T13:00:00,72,33,998.1381578
2017-01-14T14:00:00,77,33,998.3074772
2017-01-14T15:00:00,82.75,33,997.7995188
2017-01-14T16:00:00,85,33,997.8559587
2017-01-14T17:00:00,88,33,998.4767966
2017-01-14T18:00:00,89,33,998.3074772
2017-01-14T19:00:00,92,33,998.6461161
2017-01-14T20:00:00,96,33,998.984755
2017-01-14T21:00:00,96,33,998.984755
2017-01-14T22:00:00,96,33,999.3233939
2017-01-14T23:00:00,96,33,999.3233939
2017-01-15T00:00:00,96,33,999.3233939
2017-01-15T01:00:00,96,33,999.1540745
2017-01-15T02:00:00,96,33,999.3233939
2017-01-15T03:00:00,96,33,999.6620328
2017-01-15T04:00:00,96,33,999.6620328
2017-01-15T05:00:00,96,33,999.6620328
2017-01-15T06:00:00,92,33,1000.000672
2017-01-15T07:00:00,92,33,1000.000672
2017-01-15T08:00:00,90.5,33,1000.339311
2017-01-15T09:00:00,88,33,1000.339311
2017-01-15T10:00:00,89,33,1000.339311
2017-01-15T11:00:00,85,33,1000.000672
2017-01-15T12:00:00,82,33,998.984755
2017-01-15T13:00:00,82,33,997.9688383
2017-01-15T14:00:00,76,33,997.9688383
2017-01-15T15:00:00,73,33,997.9688383
2017-01-15T16:00:00,73,33,997.6301994
2017-01-15T17:00:00,78,33,997.6301994
2017-01-15T18:00:00,78,33,997.6301994
2017-01-15T19:00:00,82,33,998.3074772
2017-01-15T20:00:00,85,33,997.6301994
2017-01-15T21:00:00,82,33,997.6301994
2017-01-15T22:00:00,82,33,997.2915605
2017-01-15T23:00:00,82,33,997.2915605
2017-01-16T00:00:00,85,38,996.9529216
2017-01-16T01:00:00,85,38,996.9529216
2017-01-16T02:00:00,82,38,996.9529216
2017-01-16T03:00:00,85,38,996.9529216
